,level_0,index,link,headline,summary,date,compounds_head,compounds_summ,compounds_head_summ,Sentiment,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Doc_length,Modal_freq,Negative_freq,Positive_freq,Uncertainty_freq,Litigious_freq,Constraining_freq,Superfluous_freq,Interesting_freq,Negative_score,Positive_score
10,28,28,https://www.nytimes.com/1993/09/09/business/southwestern-bell-sells-debt-issues.html,Southwestern Bell Sells Debt Issues,"The Southwestern Bell Corporation, the regional telephone company based in San Antonio, sold $400 million in debt securities yesterday through underwriters led by Salomon Brothers Inc. A $200 million issue of 6 5/8 percent debentures due 2024 was priced at 99.75 to yield 6.80 percent, or about 80 basis points more than Treasury securities with a similar maturity. A basis point is one-hundredth of a percent.",1993-09-09 01:00:00,-0.3612,0.4549,0.1226,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29,29,https://www.nytimes.com/1993/09/20/business/dividend-meetings-778293.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY General Mls Inc Hormel Geo A & Co Pulte Corp Rochester Tel Corp UJB Finl Corp TUESDAY Amer Bldg Maint Inds CPC Intl Inc Federal Paper Brd Inc Soundstrand Corp United Dominion Rlty Upjohn Co WEDNESDAY Brooklyn Un Gas Co Cascade Nat Gas Corp Commercial Intertech Downey Svgs & Ln Assn Interstate Bakeries National Re Corp Neiman Marcus Gr THURSDAY Acme Cleveland Corp Boston Edison Co Campbell Soup Co Clarcor Inc Grow Group Inc Homestake Mng Co Knight-Ridder Inc Liz Claiborne Inc Moorco Intl Inc Tectronix Inc Transatlantic Hldgs Inc Wyle Labs FRIDAY Cent Hudson Gas & Elec Graco Inc Pacific Telesis Group Ralston Purina Co Smart & Final Inc Southwestern Bell Corp,1993-09-20 01:00:00,0.0,0.6705,0.6705,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,36,36,https://www.nytimes.com/1993/10/01/business/market-place-some-baby-bells-may-be-angling-for-a-role-in-a-paramount-deal.html,Market Place; Some Baby Bells may be angling for a role in a Paramount deal.,"WHILE Viacom and QVC Network race to line up money in their battle to buy Paramount Communications, all eyes are now turning toward the Baby Bells as potential partners. Investment bankers and industry executives familiar with the battle say that several of the huge phone companies -- Southwestern Bell in particular, but also Bell Atlantic and BellSouth -- have all shown intense interest in the Paramount deal.",1993-10-01 01:00:00,0.0,0.5423,0.5423,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,46,46,https://www.nytimes.com/1993/10/22/business/the-media-business-phone-companies-in-possible-cable-deal.html,Phone Companies in Possible Cable Deal,"Southwestern Bell Corporation and U S West, two Bell operating companies hungry for an alliance with a cable operator, are vying to acquire Cablevision Systems Corporation, several executives with knowledge of the talks said yesterday. Cablevision Systems, which serves 19 states, is based in Woodbury, L.I. It is the nation's fifth-largest cable concern and has more than 2 million subscribers.",1993-10-22 01:00:00,0.0,0.0,0.0,"       Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  ALLIANCE      0         0         1            0          0             0   
1   CONCERN      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,50,50,https://www.nytimes.com/1993/10/22/business/southwestern-bell-corp-reports-earnings-for-qtr-to-sept-30.html,Southwestern Bell Corp. reports earnings for Qtr to Sept 30,0,1993-10-22 04:00:00,0.0,0.0,0.0,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,56,56,https://www.nytimes.com/1993/11/05/business/the-media-business-cox-in-cable-merger-talks.html,Cox in Cable Merger Talks,"Cox Enterprises Inc. and the Southwestern Bell Corporation are close to an agreement to pool their cable holdings and spin off the combined business in a publicly held company, investment bankers close to the talks said today. Southwestern Bell would invest more than $1 billion in the company, which would be the nation's fifth-largest cable operator, with more than two million subscribers, assuming pending acquisitions go through.",1993-11-05 01:00:00,0.0,0.4939,0.4939,"       Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0     WOULD      2         0         0            0          0             0   
1     WOULD      2         0         0            0          0             0   
2  ASSUMING      0         0         0            1          0             0   
3   PENDING      0         0         0            1          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  ",4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,68,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
16,59,59,https://www.nytimes.com/1993/11/19/business/company-news-southwestern-bell-to-buy-cellular-phone-systems.html,SOUTHWESTERN BELL TO BUY CELLULAR PHONE SYSTEMS,"The Southwestern Bell Corporation said yesterday that it had agreed to buy three cellular telephone systems in central New York State for an undisclosed price. The San Antonio-based regional telephone company said it would buy cellular properties in Syracuse, Utica and Ithaca from a partnership headed by a Florida executive, Kenneth Horowitz. The three properties have a combined service-area population of 1.3 million, raising Southwestern Bell's cellular coverage to a population of 37 million nationwide. Southwestern Bell declined to disclose the sales price or the number of customers served by the companies, which have 120 employees. The acquisition will increase Southwestern Bell's cellular properties to 57 service areas nationwide, including Chicago, Boston, Dallas-Fort Worth and Washington, D.C.",1993-11-19 01:00:00,0.0,0.6808,0.6808,"          Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0  UNDISCLOSED      0         1         0            0          0   
1        WOULD      2         0         0            0          0   
2     DECLINED      0         1         0            0          0   
3     DISCLOSE      0         1         0            0          0   
4         WILL      1         0         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  
4             0            0            0  ",3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,122,0.02459016393442623,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.02459016393442623,-0.02459016393442623
17,61,61,https://www.nytimes.com/1993/11/27/business/company-news-esquire-radio-receives-acquisition-proposal.html,ESQUIRE RADIO RECEIVES ACQUISITION PROPOSAL,"Esquire Radio and Electronics Inc. said yesterday that it had received an unsolicited offer from Steel Partners 2 to acquire Esquire Radio for $50 a share in cash. Steel Partners 2, based in Delaware, is a limited partnership controlled by Warren Lichtenstein and Lawrence Butler. Esquire, based in Brooklyn, develops and imports telecommunications equipment including phones, answering machines and fax machines, primarily for Southwestern Bell. Esquire's shares closed up $2.875 yesterday on the American Stock Exchange at a 52-week high of $50.75. As of Sept. 30, Esquire had about 483,000 shares outstanding, so the Steel Partners offer has an indicated value of about $24 million. Esquire did not have an immediate response to the Steel Partners offer.",1993-11-27 01:00:00,0.0,0.8779,0.8779,"     Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  CLOSED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,-0.008264462809917356
18,63,63,https://www.nytimes.com/1993/12/04/business/company-news-metromedia-paging-is-acquired-by-mobilemedia.html,METROMEDIA PAGING IS ACQUIRED BY MOBILEMEDIA,"The Mobilemedia Corporation of Ridgefield Park, N.J., said yesterday that it had acquired Metromedia Paging Services Inc. from the Southwestern Bell Corporation, the San Antonio-based regional Bell operating company. Financial terms of the agreement were not disclosed. Mobilemedia, the second-largest provider of paging services in the United States, provides paging services in 19 states. As a result of the acquisition, Metromedia Paging was renamed Mobilemedia Communications Inc.",1993-12-04 01:00:00,0.0,0.7184,0.7184,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  DISCLOSED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,-0.014285714285714285
19,64,64,https://www.nytimes.com/1993/12/08/business/southwestern-bell-and-cox-plan-a-4.9-billion-venture.html,Southwestern Bell and Cox Plan a $4.9 Billion Venture,"The Southwestern Bell Corporation and Cox Cable of Atlanta announced yesterday that they would form a $4.9 billion joint venture, marking the third powerful alliance formed this year between telephone and cable companies in the race to build advanced networks. The new alliance would unite one of the strongest of the seven Bell companies with the nation's sixth-largest operator of cable television systems. Amid the current wave of media combinations, the deal would be exceeded in size only by Bell Atlantic's $26 billion bid to buy Tele-Communications Inc. and U S West's alliance with Time Warner's cable system.",1993-12-08 01:00:00,0.0,0.7717,0.7717,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0      WOULD      2         0         0            0          0             0   
1      WOULD      2         0         0            0          0             0   
2      WOULD      2         0         0            0          0             0   
3   ALLIANCE      0         0         1            0          0             0   
4   ALLIANCE      0         0         1            0          0             0   
5   ALLIANCE      0         0         1            0          0             0   
6  STRONGEST      0         0         1            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  
4            0            0  
5            0            0  
6            0            0  ",6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,101,0.0594059405940594,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,-0.039603960396039604,0.039603960396039604
20,67,67,https://www.nytimes.com/1993/12/13/business/dividend-meetings-463493.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY Cascade Nat Gas Corp Cincinnati Gas Corp Lincoln Natl Conv ScsFd Lincoln Natl Income Fd TUESDAY Bankers Tr N Y Corp Chesapeake Corp Clarcor Inc Consolidated Nat Gas Co Fst Comwlth Finl Pa Fleetwood Enterprises Inc Fluor Corp HRE Pptys Intl Flvrs & Frag Salomon Bros Fd Inc Untd Domin Realty Tr WEDNESDAY American Precision Inds Anheuser-Busch Cos Inc Bangor Hydro Elec Co Keystone Intl Inc Knight-Ridder Inc National Svc Inds Inc Pier 1 Imports Inc Rochester Gas & Elec Ryland Group Inc SPX Corp Stone & Webster Inc Super Food Svcs Inc Supervalu Inc UJB Finl Corp Washington Energy Co Washington Gas Lt Co THURSDAY Bell Atlantic Corp Boston Edison Co Central Newspapers Inc Grow Group Inc Health Equity Pptys Inc Nalco Chem Co Nynex Corp Scotsman Inds Inc Shopko Stores Inc Toro Co Transamerica Corp Tredegar Inds Inc Tyco Labs Inc FRIDAY Boise Cascade Corp Cntrl Hudson Gas & Elec Ecolab Inc Graco Inc Pacific Telesis Group Southwestern Bell Corp,1993-12-13 01:00:00,0.0,0.7184,0.7184,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,71,71,https://www.nytimes.com/1994/01/10/business/the-media-business-baby-bell-deal-closed.html,Baby Bell Deal Closed,"The Southwestern Bell Corporation has completed the $650 million purchase, first announced in February 1992, of two cable television systems in suburban Washington from Hauser Communications. The Hauser systems in Montgomery County, Md., and Arlington County, Va., together have 230,000 subscribers. Regulatory approval was needed to complete the deal, announced on Thursday, including waivers of restrictions in the 1983 Federal court decision that split A.T.& T. into seven Bell operating companies.",1994-01-10 01:00:00,0.0,0.4767,0.4767,"           Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0    REGULATORY      0         0         0            0          1   
1  RESTRICTIONS      0         0         0            0          0   
2         COURT      0         0         0            0          1   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             1            0            0  
2             0            0            0  ",0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514,0.0,0.0,0.0,0.0
22,74,74,https://www.nytimes.com/1994/01/25/business/company-reports-southwestern-bell-corp-n.html,SOUTHWESTERN BELL CORP. (N),"The Southwestern Bell Corporation said yesterday that fourth-quarter earnings rose more than 10 percent, to a record $385.9 million, helped by a rapid expansion in its cellular business. For the year, however, the company reported a loss of $845.2 million, or $1.41 a share, after incurring a charge of $153.2 million for refinancing $2.1 billion of long-term debt at its telephone operations. The company also adopted new accounting methods last year, which resulted in a one-time, noncash charge that reduced earnings by $2.1 billion.",1994-01-25 01:00:00,0.0,-0.3818,-0.3818,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  LOSS      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,-0.010752688172043012
23,79,79,https://www.nytimes.com/1994/02/25/business/company-news-southwestern-bell-buying-more-cellular-assets.html,COMPANY NEWS; Southwestern Bell Buying More Cellular Assets,The Southwestern Bell Corporation moved yesterday to expand its fast-growing wireless telephone business by agreeing to acquire the domestic cellular operations of the Associated Communications Corporation for $680 million in stock. The acquisition would make Southwestern Bell the largest cellular operator in upstate New York.,1994-02-25 01:00:00,0.2449,0.5719,0.6887,"    Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WOULD      2         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,82,82,https://www.nytimes.com/1994/03/12/business/company-news-southwestern-bell-and-cox-renegotiating-deal.html,Southwestern Bell and Cox Renegotiating Deal,"The Southwestern Bell Corporation said today that it was renegotiating the financial terms of its $4.9 billion joint venture with Cox Enterprises Inc., but officials at both companies said the deal was in no danger of collapsing. Analysts said Southwestern Bell officials had told them at a meeting this week in San Antonio, where the company is based, that the officials would have to renegotiate the terms of the transaction in the wake of the move by the Federal Communications Commission last month to cut cable television rates by 7 percent.",1994-03-12 01:00:00,0.0,-0.9161,-0.9161,"            Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0  RENEGOTIATING      0         1         0            0          0   
1         DANGER      0         1         0            0          0   
2     COLLAPSING      0         1         0            0          0   
3          WOULD      2         0         0            0          0   
4    RENEGOTIATE      0         1         0            0          0   
5            CUT      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  
4             0            0            0  
5             0            0            0  ",2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.021739130434782608,0.05434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,-0.05434782608695652
